file_id,id,time,jd,mjd,ra_hours,dec_degs,x,y,telescope,filter,exp_length,mag,mag_error,zero_point,flux,flux_error,pm_sky,pm_epoch,pm_pos_angle_sky,zero_point_correction,zero_point_error,calibrated_zero_point,calibrated_mag
375,SRC0,21:09.0,2460011.556,60011.05635,10.29882995,-46.35739248,804.64793,122.8614329,Prompt5,V,80,13.26241309,0.00815618,20,39639.1881,298.895586,,12:35.0,,,,,
375,SRC1,21:09.0,2460011.556,60011.05635,10.29834163,-46.34590775,775.6758248,53.25491915,Prompt5,V,80,13.49827781,0.00968389,20,31899.13166,285.7870992,,12:35.0,,,,,
376,SRC0,25:19.0,2460011.601,60011.10091,10.29878386,-46.35712604,801.8140198,121.2026642,Prompt5,V,80,13.554436,0.010108247,20,30291.13782,283.3285524,,12:35.0,,,,,
376,SRC1,25:19.0,2460011.601,60011.10091,10.29829017,-46.34567804,772.5029158,51.81024152,Prompt5,V,80,13.52190012,0.009886922,20,31212.59944,285.5259535,,12:35.0,,,,,
377,SRC0,27:32.0,2460011.644,60011.14412,10.29883062,-46.35743262,804.6842713,123.1033774,Prompt5,V,80,13.69609617,0.01118883,20,26585.90932,275.3921494,,12:35.0,,,,,
377,SRC1,27:32.0,2460011.644,60011.14412,10.29834137,-46.34594478,775.6551338,53.47700558,Prompt5,V,80,13.47073319,0.009486124,20,32718.75071,287.1175987,,12:35.0,,,,,
378,SRC0,30:51.0,2460011.688,60011.18809,10.29882968,-46.35741827,804.6277175,123.016008,Prompt5,V,80,13.80402789,0.012165526,20,24070.15193,271.2194212,,12:35.0,,,,,
378,SRC1,30:51.0,2460011.688,60011.18809,10.29834029,-46.34592532,775.5905267,53.35876906,Prompt5,V,80,13.4430138,0.009315484,20,33564.83128,289.2211206,,12:35.0,,,,,
379,SRC0,32:26.0,2460011.731,60011.23086,10.29883111,-46.35741143,804.7172743,122.9767537,Prompt5,V,80,13.99264428,0.014093285,20,20231.69529,264.3272158,,12:35.0,,,,,
379,SRC1,32:26.0,2460011.731,60011.23086,10.29834123,-46.34592014,775.6494942,53.32880202,Prompt5,V,80,13.46771034,0.009485216,20,32809.97147,287.8903923,,12:35.0,,,,,
380,SRC0,34:04.0,2460011.774,60011.27366,10.29883144,-46.35739721,804.7395618,122.8917,Prompt5,V,80,14.22934399,0.017464442,20,16268.68278,263.8033805,,12:35.0,,,,,
380,SRC1,34:04.0,2460011.774,60011.27366,10.29834221,-46.34591366,775.7110527,53.29111246,Prompt5,V,80,13.56650061,0.01043053,20,29956.40838,289.1742084,,12:35.0,,,,,
381,SRC0,35:29.0,2460011.816,60011.31631,10.29883109,-46.35737806,804.7201604,122.7762216,Prompt5,V,80,14.25161487,0.018196702,20,15938.37491,269.3747137,,12:35.0,,,,,
381,SRC1,35:29.0,2460011.816,60011.31631,10.29834232,-46.3458938,775.7205738,53.17198648,Prompt5,V,80,13.55807797,0.010559525,20,30189.70016,295.0478789,,12:35.0,,,,,
382,SRC0,37:49.0,2460011.86,60011.35959,10.29883135,-46.35737959,804.7364867,122.7857671,Prompt5,V,80,14.29556114,0.019428515,20,15306.13471,276.3581705,,12:35.0,,,,,
382,SRC1,37:49.0,2460011.86,60011.35959,10.298343,-46.34588299,775.764014,53.10789622,Prompt5,V,80,13.55574341,0.010830842,20,30254.68404,303.3182133,,12:35.0,,,,,
383,SRC0,38:50.0,2460011.902,60011.40197,10.29879091,-46.3570228,802.2651026,120.5913479,Prompt5,V,80,14.49774076,0.02528556,20,12705.55621,299.3704043,,12:35.0,,,,,
383,SRC1,38:50.0,2460011.902,60011.40197,10.29829435,-46.3455721,772.775424,51.17906889,Prompt5,V,80,13.68632078,0.01297908,20,26826.35559,322.6113686,,12:35.0,,,,,
